epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7251,1.34706,2.1337,1.36592,0.97637,0.9181,0.98475,0.65282,1.05596,1.95126,1.19837,0.00065625,0.00065625,0.00065625
2,64.2576,1.14028,1.16637,1.16205,0.82073,0.69523,0.82685,0.54656,1.06868,1.65773,1.14331,0.00130982,0.00130982,0.00130982
3,74.5914,1.09983,0.93781,1.13494,0.9545,0.97037,0.98946,0.66386,1.06546,0.80468,1.13257,0.00195019,0.00195019,0.00195019
4,81.3853,1.05474,0.81884,1.11751,0.92238,0.89259,0.9401,0.62577,1.11092,0.93199,1.14279,0.0019406,0.0019406,0.0019406
5,90.0863,1.02266,0.70542,1.10226,0.93055,0.8963,0.96339,0.63639,1.06482,0.79013,1.13329,0.0019208,0.0019208,0.0019208
6,100.746,0.99567,0.66741,1.09396,0.98661,0.98519,0.99371,0.69704,0.98977,0.60714,1.07265,0.001901,0.001901,0.001901
7,109.479,0.98697,0.62766,1.07267,0.99628,0.99192,0.99496,0.71482,0.91363,0.44463,1.0426,0.0018812,0.0018812,0.0018812
8,119.979,0.98668,0.60523,1.07951,0.99548,0.98889,0.99493,0.71137,0.90233,0.45511,1.03773,0.0018614,0.0018614,0.0018614
9,126.804,0.97099,0.58661,1.07895,0.97793,0.98889,0.99273,0.67952,0.99311,0.54646,1.06909,0.0018416,0.0018416,0.0018416
10,133.497,0.99867,0.58672,1.09252,0.99984,0.98889,0.99396,0.73714,0.86773,0.40966,1.01689,0.0018218,0.0018218,0.0018218
11,140.712,0.94791,0.55403,1.05874,0.99822,0.98889,0.99489,0.73684,0.84513,0.40823,1.00412,0.001802,0.001802,0.001802
12,151.189,0.93318,0.52771,1.05859,0.98792,0.9963,0.99489,0.74907,0.84193,0.38834,1.01262,0.0017822,0.0017822,0.0017822
