epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.828,2.12151,3.37896,1.75333,0.11027,0.33245,0.12101,0.04818,2.12016,3.24279,1.75875,0.000276902,0.000276902,0.000276902
2,285.551,2.02096,2.66086,1.65571,0.10914,0.29032,0.15218,0.05201,2.18566,2.78142,1.80334,0.000549078,0.000549078,0.000549078
3,418.41,1.98374,2.59932,1.63108,0.12113,0.22843,0.13544,0.05162,2.15896,2.8997,1.7623,0.000815757,0.000815757,0.000815757
4,550.046,1.9079,2.44917,1.56037,0.16019,0.24297,0.12843,0.04534,2.24859,2.72731,1.91346,0.00080826,0.00080826,0.00080826
5,681.832,1.85775,2.32956,1.53466,0.2629,0.34297,0.26059,0.10284,2.03424,2.20457,1.67135,0.000800013,0.000800013,0.000800013
6,813.673,1.79463,2.23726,1.48402,0.20255,0.39528,0.23213,0.11475,1.85459,2.32424,1.54188,0.000791767,0.000791767,0.000791767
7,945.786,1.76871,2.15091,1.46266,0.24677,0.33449,0.22612,0.10372,1.95523,2.42048,1.59478,0.00078352,0.00078352,0.00078352
8,1077.36,1.6979,2.03706,1.39934,0.31982,0.47424,0.34646,0.15347,1.93521,1.95959,1.56008,0.000775273,0.000775273,0.000775273
9,1209.33,1.6398,1.94128,1.36903,0.30722,0.43389,0.32766,0.1626,1.82147,1.9769,1.49003,0.000767026,0.000767026,0.000767026
10,1341.28,1.59737,1.87588,1.34948,0.35331,0.45299,0.37692,0.20009,1.7475,1.87875,1.42827,0.00075878,0.00075878,0.00075878
11,1473.3,1.58156,1.82863,1.33602,0.26973,0.45079,0.357,0.20479,1.66838,1.98969,1.39098,0.000750533,0.000750533,0.000750533
12,1605.19,1.54283,1.77126,1.31284,0.37899,0.48138,0.41519,0.24626,1.63361,1.75811,1.37332,0.000742286,0.000742286,0.000742286
13,1737.47,1.51087,1.70151,1.29645,0.3667,0.48099,0.37918,0.17714,1.88697,1.93769,1.54073,0.00073404,0.00073404,0.00073404
14,1868.99,1.47596,1.65703,1.27237,0.51953,0.51731,0.51916,0.30606,1.5635,1.53205,1.32582,0.000725793,0.000725793,0.000725793
15,2001.11,1.44629,1.59373,1.26251,0.43178,0.59048,0.50628,0.32125,1.48251,1.46177,1.27598,0.000717546,0.000717546,0.000717546
16,2133.01,1.41439,1.54319,1.24013,0.47323,0.59571,0.54839,0.32268,1.52011,1.38173,1.27518,0.000709299,0.000709299,0.000709299
17,2264.78,1.38861,1.51412,1.22505,0.49178,0.54144,0.51034,0.3363,1.43274,1.50663,1.25176,0.000701053,0.000701053,0.000701053
18,2396.71,1.3552,1.46204,1.2108,0.60722,0.58133,0.58034,0.37765,1.37583,1.29293,1.21944,0.000692806,0.000692806,0.000692806
19,2528.63,1.35589,1.46151,1.21602,0.62982,0.58423,0.57571,0.35923,1.48121,1.32343,1.2375,0.000684559,0.000684559,0.000684559
20,2660.26,1.30817,1.41975,1.19045,0.61837,0.57563,0.55172,0.35614,1.41756,1.35865,1.25044,0.000676313,0.000676313,0.000676313
21,2792.24,1.30974,1.38184,1.18572,0.57663,0.57842,0.54654,0.35055,1.43237,1.4022,1.23337,0.000668066,0.000668066,0.000668066
22,2923.85,1.28423,1.35047,1.17621,0.66349,0.61475,0.59451,0.38169,1.36291,1.23023,1.20376,0.000659819,0.000659819,0.000659819
23,3055.98,1.25805,1.30039,1.15806,0.47478,0.56926,0.51613,0.33683,1.45351,1.53711,1.23965,0.000651573,0.000651573,0.000651573
24,3187.71,1.25965,1.30171,1.16123,0.58801,0.63805,0.60958,0.44524,1.16562,1.11274,1.12145,0.000643326,0.000643326,0.000643326
25,3320.07,1.24202,1.27185,1.14808,0.55979,0.62709,0.58057,0.40486,1.28533,1.257,1.16726,0.000635079,0.000635079,0.000635079
26,3451.62,1.22397,1.25325,1.15,0.62277,0.64991,0.62779,0.45157,1.17187,1.07898,1.11793,0.000626832,0.000626832,0.000626832
27,3583.34,1.20128,1.22983,1.13775,0.57924,0.66356,0.61955,0.45279,1.15606,1.09123,1.11671,0.000618586,0.000618586,0.000618586
28,3715.35,1.16547,1.1993,1.12357,0.60068,0.65475,0.61761,0.4627,1.12792,1.07056,1.11401,0.000610339,0.000610339,0.000610339
29,3847.38,1.15261,1.17899,1.11504,0.60736,0.66844,0.63304,0.48336,1.06647,1.01703,1.096,0.000602092,0.000602092,0.000602092
30,3979.43,1.15165,1.16511,1.11263,0.62198,0.65854,0.62838,0.46991,1.1112,1.05847,1.10164,0.000593846,0.000593846,0.000593846
31,4110.72,1.13117,1.15179,1.1045,0.61994,0.69168,0.63647,0.48288,1.06202,0.99185,1.0773,0.000585599,0.000585599,0.000585599
32,4242.42,1.12637,1.13463,1.10543,0.63343,0.66938,0.63749,0.48079,1.05685,0.99943,1.0786,0.000577352,0.000577352,0.000577352
33,4373.8,1.12223,1.12249,1.10485,0.62211,0.67079,0.62569,0.45799,1.13838,1.05407,1.10204,0.000569106,0.000569106,0.000569106
34,4505.29,1.10711,1.09541,1.08568,0.63084,0.66252,0.62188,0.46346,1.10705,1.04262,1.09234,0.000560859,0.000560859,0.000560859
35,4636.95,1.09476,1.10084,1.09195,0.60808,0.66631,0.61683,0.46773,1.06178,1.02915,1.08202,0.000552612,0.000552612,0.000552612
36,4768.59,1.07587,1.06124,1.08805,0.64842,0.68364,0.65435,0.50768,1.0164,0.93063,1.05826,0.000544365,0.000544365,0.000544365
37,4900.75,1.0634,1.04322,1.07603,0.63534,0.69313,0.64266,0.48904,1.05903,0.96848,1.06901,0.000536119,0.000536119,0.000536119
38,5032.1,1.05863,1.04554,1.07484,0.6386,0.68812,0.65892,0.51155,0.98731,0.91052,1.04474,0.000527872,0.000527872,0.000527872
39,5163.89,1.05302,1.00526,1.06901,0.68867,0.70346,0.67545,0.52496,0.96137,0.8786,1.0388,0.000519625,0.000519625,0.000519625
40,5295.85,1.03614,1.01872,1.06684,0.66358,0.7,0.66925,0.50363,1.04963,0.90516,1.05999,0.000511379,0.000511379,0.000511379
41,5427.51,1.03495,1.01637,1.06601,0.67463,0.69794,0.67252,0.50801,1.04149,0.8993,1.04818,0.000503132,0.000503132,0.000503132
42,5558.59,1.02413,1.0029,1.0583,0.66619,0.71692,0.68402,0.52971,0.96225,0.86143,1.03137,0.000494885,0.000494885,0.000494885
43,5690.3,1.02738,0.98091,1.06058,0.68396,0.71138,0.68131,0.53484,0.9486,0.85829,1.0216,0.000486639,0.000486639,0.000486639
44,5822.31,1.01118,0.97982,1.05509,0.66061,0.71616,0.68336,0.54885,0.89227,0.83047,1.01599,0.000478392,0.000478392,0.000478392
45,5954.18,0.98813,0.95124,1.05136,0.66248,0.72869,0.68244,0.53551,0.94599,0.83746,1.02111,0.000470145,0.000470145,0.000470145
46,6085.64,0.98403,0.94234,1.04713,0.66626,0.73725,0.69234,0.55621,0.87049,0.80701,1.00521,0.000461898,0.000461898,0.000461898
47,6217.6,0.97224,0.93125,1.04066,0.70564,0.70356,0.68945,0.54895,0.90101,0.82444,1.01094,0.000453652,0.000453652,0.000453652
48,6348.82,0.95799,0.92281,1.03375,0.68929,0.71295,0.69179,0.55214,0.88787,0.8078,0.99708,0.000445405,0.000445405,0.000445405
49,6480.48,0.94945,0.91519,1.02697,0.68936,0.71018,0.69621,0.56596,0.84267,0.79376,0.99755,0.000437158,0.000437158,0.000437158
50,6612.25,0.96064,0.91963,1.03679,0.69506,0.72484,0.69519,0.55247,0.88749,0.79594,0.99827,0.000428912,0.000428912,0.000428912
51,6743.94,0.93409,0.89885,1.02258,0.66987,0.74907,0.70322,0.57643,0.82555,0.76361,0.98542,0.000420665,0.000420665,0.000420665
52,6875.84,0.92684,0.87117,1.02272,0.70675,0.74128,0.7117,0.57742,0.83231,0.7615,0.98746,0.000412418,0.000412418,0.000412418
53,7007.69,0.92838,0.88048,1.01992,0.70154,0.7387,0.70418,0.57006,0.82408,0.77537,0.98278,0.000404172,0.000404172,0.000404172
54,7139.19,0.90233,0.85393,1.01197,0.69757,0.73392,0.70033,0.56611,0.83722,0.78389,0.98942,0.000395925,0.000395925,0.000395925
55,7270.47,0.90102,0.85678,1.01462,0.70694,0.74178,0.70696,0.57952,0.82711,0.75459,0.99099,0.000387678,0.000387678,0.000387678
56,7402.32,0.89878,0.84618,1.01171,0.69751,0.74907,0.70995,0.583,0.8215,0.74338,0.97843,0.000379431,0.000379431,0.000379431
